Candidate_ID,Name,Age,Gender,City,Degree,Experience_Years,Skills,Projects_Count,Certifications,Resume_Summary,Target_Designation
C06285,Candidate_6285,36,Male,Delhi,BCA,10,"Pandas, Docker, Git, NumPy, MLflow, TensorFlow, SQL, Python, PyTorch, CV, Scikit-learn",7,AWS CCP,ML Engineer with 10 years of experience.,ML Engineer
C06173,Candidate_6173,33,Female,Chennai,MCA,5,"CV, SQL, Docker, Python, NLP, Pandas, Scikit-learn, PyTorch, Git, TensorFlow, MLflow",7,AWS CCP,ML Engineer with 5 years of experience.,ML Engineer
C09453,Candidate_9453,30,Male,Hyderabad,B.Sc,15,"Meta Ads, Social Media, Content Marketing, SEM, Canva, Email Marketing, WordPress, Analytics, Keyword Research, SEO, Copywriting",9,Power BI,Digital Marketing with 15 years of experience.,Digital Marketing
C07500,Candidate_7500,27,Male,Kochi,B.Sc,7,"Training, Recruitment, Conflict Resolution, Onboarding, Compliance, Leadership, ATS, Excel",6,Power BI,HR Manager with 7 years of experience.,HR Manager
C01487,Candidate_1487,30,Male,Kochi,MCA,9,"Python, Linux, MySQL, Django, MongoDB, Flask, FastAPI, PostgreSQL, JWT, Docker, REST",1,Meta,Backend Developer with 9 years of experience.,Backend Developer
C04301,Candidate_4301,32,Female,Delhi,MCA,14,"Linux, GCP, Networking, Terraform, Jenkins, Ansible, Python, Kubernetes, AWS, CI/CD, Docker",10,Azure AZ-900,Cloud Engineer with 14 years of experience.,Cloud Engineer
C05763,Candidate_5763,28,Male,Bengaluru,BCA,4,"Python, Git, Docker, NumPy, PyTorch, Pandas, SQL, CV",3,Oracle Java,ML Engineer with 4 years of experience.,ML Engineer
C01628,Candidate_1628,25,Male,Chennai,MCA,11,"REST, Flask, JWT, Git, Python, FastAPI, Docker, MySQL, PostgreSQL, Linux, MongoDB",10,Meta,Backend Developer with 11 years of experience.,Backend Developer
C01480,Candidate_1480,26,Female,Delhi,B.Tech,12,"Docker, FastAPI, MongoDB, PostgreSQL, Git, REST, Python, JWT, Django, AWS, Kubernetes",1,AWS CCP,Backend Developer with 12 years of experience.,Backend Developer
C04164,Candidate_4164,39,Male,Pune,B.Sc,12,"Kubernetes, AWS, CI/CD, Python, Docker, Azure, Linux, Jenkins, Networking",8,TensorFlow,Cloud Engineer with 12 years of experience.,Cloud Engineer
C00206,Candidate_206,34,Male,Delhi,MCA,3,"Vite, HTML, Git, Bootstrap, Next.js, Redux, REST, TypeScript",3,Power BI,Front End Developer with 3 years of experience.,Front End Developer
C00835,Candidate_835,36,Female,Pune,B.Tech,0,"Next.js, REST, TypeScript, Vite, CSS, Bootstrap, Tailwind, JavaScript, HTML, Git",1,Google DA,Front End Developer with 0 years of experience.,Front End Developer
C06995,Candidate_6995,39,Male,Mumbai,B.Sc,8,"HRMS, Compliance, Onboarding, Leadership, Communication, Excel, Conflict Resolution, ATS, Recruitment, Payroll, Employee Relations, Training",8,Google DA,HR Manager with 8 years of experience.,HR Manager
C03486,Candidate_3486,29,Female,Kochi,B.Sc,4,"DAX, ETL, Python, Statistics, SQL, Seaborn, Pandas, Excel, Power BI, Tableau, Matplotlib",9,Oracle Java,Data Analyst with 4 years of experience.,Data Analyst
C01299,Candidate_1299,25,Female,Kochi,M.Tech,14,"REST, JavaScript, Redux, Next.js, TypeScript, Git, Tailwind, CSS",8,Oracle Java,Front End Developer with 14 years of experience.,Front End Developer
C09322,Candidate_9322,22,Male,Chennai,MCA,6,"SEM, SEO, Google Ads, Keyword Research, Email Marketing, Canva, Copywriting, WordPress, Analytics, Prototyping",7,TensorFlow,Digital Marketing with 6 years of experience.,Digital Marketing
C09060,Candidate_9060,21,Female,Pune,BCA,10,"UX, Figma, UI, Canva, Adobe XD, Typography, Prototyping, Color Theory, Wireframing, Illustrator, After Effects, Photoshop",9,Azure AZ-900,Designer with 10 years of experience.,Designer
C04396,Candidate_4396,26,Male,Hyderabad,M.Tech,6,"AWS, Linux, Jenkins, Python, Docker, GCP, Azure, Terraform, Kubernetes, CI/CD, Networking, CV",8,Google DA,Cloud Engineer with 6 years of experience.,Cloud Engineer
C09911,Candidate_9911,22,Male,Bengaluru,M.Tech,8,"SEO, Canva, Meta Ads, Analytics, Google Ads, Keyword Research, WordPress, Social Media, Email Marketing",10,Power BI,Digital Marketing with 8 years of experience.,Digital Marketing
C05325,Candidate_5325,35,Male,Kochi,BCA,9,"CV, Pandas, SQL, Python, PyTorch, Scikit-learn, Git, MLflow",10,Azure AZ-900,ML Engineer with 9 years of experience.,ML Engineer
C01354,Candidate_1354,22,Female,Hyderabad,M.Tech,14,"Git, Linux, FastAPI, REST, JWT, MongoDB, Docker, Django, PostgreSQL",10,Power BI,Backend Developer with 14 years of experience.,Backend Developer
C06471,Candidate_6471,23,Female,Kochi,B.Sc,9,"TensorFlow, Scikit-learn, Pandas, Git, NLP, SQL, Docker, CV, MLflow",2,Google DA,ML Engineer with 9 years of experience.,ML Engineer
C05898,Candidate_5898,21,Female,Hyderabad,B.Tech,11,"PyTorch, NumPy, Scikit-learn, CV, Python, Docker, Pandas, Git, SQL, TensorFlow, MLflow, NLP",9,Meta,ML Engineer with 11 years of experience.,ML Engineer
C05083,Candidate_5083,30,Female,Chennai,MCA,14,"Python, Kubernetes, Jenkins, GCP, AWS, Linux, Ansible, CI/CD",2,Meta,Cloud Engineer with 14 years of experience.,Cloud Engineer
C04983,Candidate_4983,27,Female,Chennai,MCA,11,"Jenkins, CI/CD, Ansible, Python, AWS, Docker, GCP, Kubernetes, Terraform, Linux, Networking, Azure",1,Oracle Java,Cloud Engineer with 11 years of experience.,Cloud Engineer
C01551,Candidate_1551,28,Male,Hyderabad,B.Sc,15,"MongoDB, REST, Flask, Docker, Linux, MySQL, Django, FastAPI, Python, PostgreSQL, JWT, React",4,Oracle Java,Backend Developer with 15 years of experience.,Backend Developer
C00520,Candidate_520,22,Female,Kochi,B.Sc,8,"Tailwind, Redux, REST, Vite, HTML, Bootstrap, Git, React, Next.js, JavaScript, CSS, TypeScript",7,Oracle Java,Front End Developer with 8 years of experience.,Front End Developer
C01093,Candidate_1093,25,Female,Bengaluru,M.Tech,12,"Git, Vite, REST, Redux, HTML, Next.js, JavaScript, TypeScript, React",4,Meta,Front End Developer with 12 years of experience.,Front End Developer
C03931,Candidate_3931,34,Male,Hyderabad,M.Tech,11,"NumPy, ETL, Tableau, Power BI, SQL, Python, Pandas, Seaborn, Excel, DAX, Statistics",4,Oracle Java,Data Analyst with 11 years of experience.,Data Analyst
C05505,Candidate_5505,34,Female,Kochi,MCA,15,"SQL, Pandas, TensorFlow, Docker, CV, PyTorch, Git, NLP, MLflow, Scikit-learn, NumPy",10,Oracle Java,ML Engineer with 15 years of experience.,ML Engineer
C00103,Candidate_103,30,Male,Delhi,B.Tech,9,"Bootstrap, CSS, Vite, REST, Redux, Tailwind, React, Next.js, JavaScript, HTML",3,Oracle Java,Front End Developer with 9 years of experience.,Front End Developer
C01418,Candidate_1418,22,Male,Pune,MCA,9,"JWT, MySQL, REST, Flask, FastAPI, Django, Git, PostgreSQL",9,Meta,Backend Developer with 9 years of experience.,Backend Developer
C06596,Candidate_6596,38,Female,Hyderabad,B.Tech,10,"Conflict Resolution, Compliance, Payroll, ATS, Employee Relations, Onboarding, Recruitment, HRMS, Communication, Pandas",5,TensorFlow,HR Manager with 10 years of experience.,HR Manager
C07284,Candidate_7284,40,Male,Hyderabad,BCA,11,"Onboarding, Employee Relations, Payroll, Leadership, Communication, Training, Conflict Resolution, Meta Ads, Canva",10,Azure AZ-900,HR Manager with 11 years of experience.,HR Manager
C02991,Candidate_2991,38,Female,Bengaluru,B.Tech,13,"NumPy, DAX, Matplotlib, Pandas, Statistics, Excel, SQL, Tableau, ETL, Power BI, Python",3,Power BI,Data Analyst with 13 years of experience.,Data Analyst
C04787,Candidate_4787,34,Male,Delhi,MCA,7,"Docker, Azure, Jenkins, Python, Terraform, Networking, CI/CD, Linux, Kubernetes, Ansible, GCP, AWS",8,Meta,Cloud Engineer with 7 years of experience.,Cloud Engineer
C09101,Candidate_9101,38,Female,Mumbai,MCA,11,"Canva, Wireframing, Color Theory, Adobe XD, Prototyping, After Effects, UI, Photoshop, UX, Typography, Illustrator, SEM",6,TensorFlow,Designer with 11 years of experience.,Designer
C08139,Candidate_8139,25,Male,Hyderabad,MCA,0,"Wireframing, Canva, Typography, Illustrator, UX, Adobe XD, UI, Photoshop, Color Theory",4,Oracle Java,Designer with 0 years of experience.,Designer
C06582,Candidate_6582,22,Male,Kochi,B.Tech,12,"Onboarding, Leadership, Excel, Communication, Training, Recruitment, HRMS, Compliance, ATS, Conflict Resolution, Payroll",3,Oracle Java,HR Manager with 12 years of experience.,HR Manager
C04650,Candidate_4650,34,Female,Chennai,BCA,9,"Azure, AWS, CI/CD, Linux, Jenkins, Ansible, GCP, Docker, Networking, Python, Kubernetes",4,Oracle Java,Cloud Engineer with 9 years of experience.,Cloud Engineer
C04347,Candidate_4347,34,Male,Chennai,MCA,4,"CI/CD, Terraform, Networking, Linux, GCP, Kubernetes, Jenkins, AWS, Python, Azure",8,Oracle Java,Cloud Engineer with 4 years of experience.,Cloud Engineer
C02008,Candidate_2008,36,Male,Hyderabad,MCA,1,"FastAPI, REST, PostgreSQL, MongoDB, Git, Django, Flask, Docker, Linux, JWT, MySQL, Python",7,TensorFlow,Backend Developer with 1 years of experience.,Backend Developer
C09717,Candidate_9717,36,Male,Delhi,B.Sc,8,"SEO, SEM, Canva, Content Marketing, Google Ads, Meta Ads, Copywriting, Social Media, Analytics, WordPress",6,TensorFlow,Digital Marketing with 8 years of experience.,Designer
C05313,Candidate_5313,34,Female,Kochi,MCA,2,"Scikit-learn, NumPy, NLP, Git, Python, MLflow, Docker, Seaborn, Statistics",9,Meta,ML Engineer with 2 years of experience.,ML Engineer
C09517,Candidate_9517,30,Female,Delhi,M.Tech,13,"WordPress, Meta Ads, Canva, Keyword Research, Google Ads, Email Marketing, SEM, Content Marketing, Copywriting",9,Oracle Java,Digital Marketing with 13 years of experience.,Digital Marketing
C09363,Candidate_9363,34,Female,Hyderabad,B.Tech,8,"SEM, WordPress, SEO, Copywriting, Content Marketing, Email Marketing, Social Media, Keyword Research, Google Ads, Canva, Meta Ads, Analytics",9,Oracle Java,Digital Marketing with 8 years of experience.,Digital Marketing
C00712,Candidate_712,25,Male,Pune,BCA,12,"TypeScript, Redux, HTML, React, Git, Next.js, JavaScript, REST, Vite, CSS",1,Oracle Java,Front End Developer with 12 years of experience.,Front End Developer
C00363,Candidate_363,22,Male,Delhi,BCA,9,"Git, TypeScript, Next.js, Tailwind, Redux, JavaScript, React, Vite, HTML",1,TensorFlow,Front End Developer with 9 years of experience.,Front End Developer
C02879,Candidate_2879,34,Female,Mumbai,B.Tech,8,"Python, Excel, ETL, Seaborn, Statistics, Tableau, Power BI, DAX, Matplotlib, TensorFlow, Git",6,Meta,Data Analyst with 8 years of experience.,Data Analyst
C08374,Candidate_8374,21,Female,Mumbai,B.Sc,8,"Color Theory, After Effects, Photoshop, Prototyping, Figma, Wireframing, Typography, UX, Canva, UI",7,Oracle Java,Designer with 8 years of experience.,Designer
C03948,Candidate_3948,26,Female,Hyderabad,MCA,3,"Azure, CI/CD, Docker, Kubernetes, Networking, GCP, Jenkins, Ansible, Terraform, Python",1,Power BI,Cloud Engineer with 3 years of experience.,Cloud Engineer
C01631,Candidate_1631,40,Female,Chennai,BCA,14,"FastAPI, MySQL, Flask, JWT, Python, Django, Linux, Docker",3,Oracle Java,Backend Developer with 14 years of experience.,Backend Developer
C05161,Candidate_5161,37,Male,Hyderabad,BCA,1,"Python, Linux, Docker, Terraform, GCP, CI/CD, Azure, Networking",10,Oracle Java,Cloud Engineer with 1 years of experience.,Cloud Engineer
C03684,Candidate_3684,28,Male,Kochi,M.Tech,8,"ETL, Tableau, DAX, NumPy, Seaborn, SQL, Matplotlib, Statistics, Excel, Python",4,Power BI,Data Analyst with 8 years of experience.,Data Analyst
C02166,Candidate_2166,40,Female,Bengaluru,B.Sc,7,"REST, Flask, PostgreSQL, Python, JWT, Django, MySQL, FastAPI, Docker, Linux, MongoDB, Git",10,TensorFlow,Backend Developer with 7 years of experience.,Backend Developer
C05398,Candidate_5398,31,Female,Kochi,BCA,1,"PyTorch, SQL, NLP, TensorFlow, Pandas, MLflow, Scikit-learn, Python, NumPy",5,AWS CCP,ML Engineer with 1 years of experience.,ML Engineer
C02398,Candidate_2398,34,Male,Hyderabad,M.Tech,5,"Flask, MySQL, Python, FastAPI, Linux, Django, JWT, PostgreSQL, Docker, Git, REST, MongoDB",10,Oracle Java,Backend Developer with 5 years of experience.,Backend Developer
C05533,Candidate_5533,38,Male,Delhi,M.Tech,7,"Python, NumPy, Pandas, PyTorch, Git, SQL, Docker, CV, MLflow, Scikit-learn, NLP, TensorFlow",6,AWS CCP,ML Engineer with 7 years of experience.,ML Engineer
C04885,Candidate_4885,38,Female,Pune,BCA,0,"Ansible, Azure, Linux, Terraform, AWS, GCP, CI/CD, Docker",2,TensorFlow,Cloud Engineer with 0 years of experience.,Cloud Engineer
C10402,Candidate_10402,25,Female,Kochi,B.Tech,4,"Canva, Email Marketing, WordPress, SEM, Content Marketing, Social Media, Meta Ads, SEO, Analytics, Google Ads, Copywriting, Keyword Research",9,Azure AZ-900,Digital Marketing with 4 years of experience.,Digital Marketing
C07876,Candidate_7876,36,Female,Mumbai,B.Sc,13,"Payroll, Training, Leadership, Recruitment, Excel, HRMS, Compliance, Onboarding, ATS, Conflict Resolution, Communication",6,Oracle Java,HR Manager with 13 years of experience.,HR Manager
C04403,Candidate_4403,27,Male,Kochi,B.Sc,13,"Docker, GCP, Terraform, AWS, Jenkins, Azure, CI/CD, Python, Networking, Linux",1,Azure AZ-900,Cloud Engineer with 13 years of experience.,Cloud Engineer
C00388,Candidate_388,22,Female,Chennai,B.Tech,0,"Tailwind, Bootstrap, Redux, Vite, JavaScript, Next.js, TypeScript, CSS",4,Meta,Front End Developer with 0 years of experience.,Front End Developer
C01063,Candidate_1063,29,Male,Delhi,B.Sc,8,"Redux, TypeScript, Tailwind, REST, CSS, React, Git, Vite, HTML, Next.js, Bootstrap, JavaScript",3,Meta,Front End Developer with 8 years of experience.,Front End Developer
C01916,Candidate_1916,27,Male,Kochi,B.Sc,3,"JWT, FastAPI, Django, MySQL, Python, Flask, Docker, MongoDB, PostgreSQL, Linux, REST, Git",7,Azure AZ-900,Backend Developer with 3 years of experience.,Backend Developer
C00107,Candidate_107,27,Female,Hyderabad,M.Tech,3,"Next.js, Git, TypeScript, REST, Vite, CSS, Tailwind, HTML, Redux, Bootstrap, React",10,Power BI,Front End Developer with 3 years of experience.,Front End Developer
C05145,Candidate_5145,36,Female,Bengaluru,B.Sc,9,"GCP, Networking, Jenkins, CI/CD, Azure, Terraform, Ansible, Kubernetes, AWS",5,TensorFlow,Cloud Engineer with 9 years of experience.,Cloud Engineer
C02372,Candidate_2372,31,Female,Pune,B.Tech,4,"Django, Python, Git, JWT, MongoDB, Linux, Flask, MySQL, Docker, PostgreSQL, FastAPI, REST",5,Azure AZ-900,Backend Developer with 4 years of experience.,Backend Developer
C04437,Candidate_4437,35,Male,Delhi,M.Tech,12,"CI/CD, Docker, Kubernetes, Azure, Python, Networking, Linux, Jenkins, AWS",10,Azure AZ-900,Cloud Engineer with 12 years of experience.,Cloud Engineer
C02065,Candidate_2065,31,Female,Pune,BCA,15,"Docker, Django, PostgreSQL, REST, MongoDB, Linux, Git, JWT, Flask",4,Oracle Java,Backend Developer with 15 years of experience.,Backend Developer
C08053,Candidate_8053,32,Female,Mumbai,M.Tech,1,"After Effects, Color Theory, Photoshop, Illustrator, UI, Prototyping, Wireframing, Typography, Figma, Adobe XD",3,Google DA,Designer with 1 years of experience.,Designer
C03942,Candidate_3942,33,Male,Hyderabad,B.Tech,5,"Python, Jenkins, Docker, Terraform, AWS, GCP, Kubernetes, Linux, Ansible",9,Power BI,Cloud Engineer with 5 years of experience.,Cloud Engineer
C07547,Candidate_7547,34,Female,Kochi,M.Tech,13,"Training, Onboarding, HRMS, Employee Relations, Compliance, Leadership, Payroll, Communication, Excel",7,Oracle Java,HR Manager with 13 years of experience.,HR Manager
C01042,Candidate_1042,38,Male,Chennai,BCA,0,"JavaScript, Next.js, HTML, REST, Bootstrap, Git, Vite, Tailwind",4,Meta,Front End Developer with 0 years of experience.,Front End Developer
C06593,Candidate_6593,32,Female,Delhi,B.Sc,9,"Leadership, Training, ATS, Communication, Excel, Conflict Resolution, Employee Relations, Recruitment, Compliance, Payroll, HRMS, Onboarding",5,Google DA,HR Manager with 9 years of experience.,HR Manager
C08646,Candidate_8646,23,Female,Delhi,MCA,0,"Typography, Prototyping, Color Theory, Illustrator, UI, Adobe XD, UX, Wireframing, Canva, After Effects",10,Meta,Designer with 0 years of experience.,Front End Developer
C07066,Candidate_7066,26,Male,Pune,B.Tech,12,"Leadership, Payroll, HRMS, Excel, Onboarding, Employee Relations, Python, Power BI",2,Azure AZ-900,HR Manager with 12 years of experience.,HR Manager
C01788,Candidate_1788,36,Male,Pune,B.Tech,10,"Docker, REST, Django, Flask, PostgreSQL, Git, JWT, FastAPI",4,Google DA,Backend Developer with 10 years of experience.,Backend Developer
C00703,Candidate_703,24,Female,Chennai,BCA,13,"Bootstrap, Tailwind, REST, Vite, CSS, React, Redux, JavaScript, HTML",4,Meta,Front End Developer with 13 years of experience.,Front End Developer
C07915,Candidate_7915,28,Male,Hyderabad,BCA,4,"Photoshop, Illustrator, Adobe XD, Wireframing, UX, Prototyping, UI, Figma, Typography, After Effects, Canva, Color Theory",5,Oracle Java,Designer with 4 years of experience.,Designer
C02667,Candidate_2667,34,Male,Bengaluru,B.Tech,13,"Tableau, ETL, DAX, Seaborn, Matplotlib, Python, Statistics, SQL, NumPy, Power BI, MLflow, Docker",5,Azure AZ-900,Data Analyst with 13 years of experience.,Data Analyst
C06307,Candidate_6307,38,Female,Pune,B.Tech,1,"Scikit-learn, Pandas, TensorFlow, Docker, MLflow, Python, SQL, NumPy, CV",7,Oracle Java,ML Engineer with 1 years of experience.,ML Engineer
C04624,Candidate_4624,34,Female,Hyderabad,B.Sc,7,"Ansible, Azure, GCP, Jenkins, Networking, AWS, CI/CD, Docker, Linux",8,TensorFlow,Cloud Engineer with 7 years of experience.,Cloud Engineer
C06909,Candidate_6909,25,Female,Hyderabad,B.Tech,15,"HRMS, Employee Relations, Training, Compliance, ATS, Communication, Leadership, Recruitment, Conflict Resolution",6,AWS CCP,HR Manager with 15 years of experience.,HR Manager
C03094,Candidate_3094,24,Male,Bengaluru,BCA,10,"Python, Statistics, Matplotlib, ETL, Seaborn, Tableau, NumPy, DAX, Pandas, SQL",7,Azure AZ-900,Data Analyst with 10 years of experience.,Data Analyst
C10226,Candidate_10226,29,Female,Pune,B.Sc,15,"SEM, SEO, WordPress, Copywriting, Canva, Meta Ads, Email Marketing, Content Marketing, Google Ads, Analytics, Keyword Research, Social Media",7,Power BI,Digital Marketing with 15 years of experience.,Digital Marketing
C06592,Candidate_6592,31,Male,Bengaluru,B.Sc,13,"Employee Relations, Compliance, Leadership, Excel, HRMS, Conflict Resolution, Training, Email Marketing, WordPress",10,Google DA,HR Manager with 13 years of experience.,HR Manager
C02937,Candidate_2937,23,Female,Chennai,B.Sc,4,"Power BI, DAX, NumPy, Statistics, Seaborn, ETL, Pandas, Python, Matplotlib",10,Google DA,Data Analyst with 4 years of experience.,Data Analyst
C01458,Candidate_1458,32,Female,Pune,BCA,2,"Docker, Linux, Flask, Django, FastAPI, REST, Python, PostgreSQL, Git, MySQL, MongoDB, JWT",8,TensorFlow,Backend Developer with 2 years of experience.,Backend Developer
C07252,Candidate_7252,25,Male,Kochi,MCA,15,"Onboarding, Compliance, Training, Communication, Excel, ATS, Recruitment, Payroll",10,AWS CCP,HR Manager with 15 years of experience.,HR Manager
C02383,Candidate_2383,22,Male,Delhi,B.Sc,12,"Docker, REST, Python, MySQL, FastAPI, Linux, Flask, Django, PostgreSQL, HTML",10,Meta,Backend Developer with 12 years of experience.,Backend Developer
C05373,Candidate_5373,33,Female,Delhi,BCA,13,"Pandas, CV, Git, NumPy, NLP, Scikit-learn, Docker, PyTorch, MLflow, TensorFlow",1,Oracle Java,ML Engineer with 13 years of experience.,ML Engineer
C10170,Candidate_10170,26,Male,Kochi,B.Tech,7,"Copywriting, Analytics, SEM, Email Marketing, SEO, Keyword Research, Content Marketing, Meta Ads",8,Google DA,Digital Marketing with 7 years of experience.,Digital Marketing
C01360,Candidate_1360,34,Female,Delhi,B.Sc,15,"PostgreSQL, Linux, REST, Flask, Docker, MongoDB, Django, Git",10,Google DA,Backend Developer with 15 years of experience.,Backend Developer
C02315,Candidate_2315,38,Male,Hyderabad,B.Tech,1,"MySQL, REST, Python, Docker, Git, FastAPI, Django, Flask, PostgreSQL, Linux, MongoDB",4,AWS CCP,Backend Developer with 1 years of experience.,Backend Developer
C02911,Candidate_2911,35,Male,Pune,BCA,14,"Excel, Statistics, DAX, Matplotlib, Power BI, Pandas, ETL, Tableau, Python",9,AWS CCP,Data Analyst with 14 years of experience.,Data Analyst
C09788,Candidate_9788,31,Female,Hyderabad,B.Tech,11,"Social Media, Email Marketing, WordPress, Canva, Google Ads, SEO, Content Marketing, Copywriting, Photoshop, Wireframing",9,Power BI,Digital Marketing with 11 years of experience.,Digital Marketing
C07042,Candidate_7042,23,Male,Mumbai,M.Tech,1,"Communication, Conflict Resolution, Recruitment, Payroll, Training, ATS, Employee Relations, Onboarding, HRMS",6,Power BI,HR Manager with 1 years of experience.,HR Manager
C01877,Candidate_1877,35,Male,Pune,M.Tech,14,"MongoDB, Python, PostgreSQL, Git, JWT, FastAPI, REST, Linux",7,Power BI,Backend Developer with 14 years of experience.,Backend Developer
C05676,Candidate_5676,30,Male,Delhi,BCA,15,"CV, Scikit-learn, Docker, SQL, PyTorch, NLP, NumPy, Git, TensorFlow, MLflow",1,Power BI,ML Engineer with 15 years of experience.,Data Analyst
C04609,Candidate_4609,28,Female,Kochi,MCA,11,"GCP, Networking, Ansible, CI/CD, Azure, Linux, Terraform, Docker, Python, AWS, Jenkins",3,TensorFlow,Cloud Engineer with 11 years of experience.,Cloud Engineer
C02445,Candidate_2445,24,Male,Hyderabad,B.Tech,5,"Git, Python, FastAPI, Flask, Docker, JWT, MySQL, Linux, Django, REST",7,TensorFlow,Backend Developer with 5 years of experience.,Backend Developer
C03775,Candidate_3775,26,Male,Kochi,BCA,3,"Matplotlib, ETL, Pandas, Power BI, DAX, NumPy, Python, SQL, Excel",8,Oracle Java,Data Analyst with 3 years of experience.,Data Analyst
C02007,Candidate_2007,30,Male,Pune,M.Tech,8,"Git, Python, FastAPI, Linux, Flask, Django, MongoDB, MySQL, REST",5,Meta,Backend Developer with 8 years of experience.,Backend Developer
C02854,Candidate_2854,30,Male,Bengaluru,B.Sc,11,"Tableau, NumPy, Matplotlib, DAX, Pandas, SQL, ETL, Power BI, Seaborn, Python, Excel, Statistics",4,Meta,Data Analyst with 11 years of experience.,Data Analyst
C00095,Candidate_95,33,Female,Chennai,BCA,0,"CSS, TypeScript, Git, Tailwind, JavaScript, REST, React, Vite, Next.js, Bootstrap",9,Oracle Java,Front End Developer with 0 years of experience.,Front End Developer
C06563,Candidate_6563,28,Female,Delhi,B.Tech,5,"Docker, MLflow, PyTorch, Pandas, Git, CV, Scikit-learn, TensorFlow",9,TensorFlow,ML Engineer with 5 years of experience.,ML Engineer
C03097,Candidate_3097,23,Male,Mumbai,B.Sc,3,"NumPy, Pandas, SQL, Matplotlib, Seaborn, DAX, ETL, Python, Tableau, Statistics, Email Marketing",1,Azure AZ-900,Data Analyst with 3 years of experience.,Data Analyst
C03921,Candidate_3921,35,Male,Chennai,B.Tech,12,"Pandas, Tableau, SQL, DAX, Statistics, Power BI, Seaborn, Matplotlib, Python, Excel",1,Power BI,Data Analyst with 12 years of experience.,Data Analyst
C06770,Candidate_6770,35,Male,Delhi,B.Sc,5,"Employee Relations, Onboarding, HRMS, Communication, Recruitment, Training, Compliance, Conflict Resolution, Excel, Payroll",3,Oracle Java,HR Manager with 5 years of experience.,HR Manager
C01292,Candidate_1292,31,Male,Kochi,MCA,7,"React, Vite, Bootstrap, Git, Tailwind, CSS, HTML, JavaScript, Next.js, TypeScript",7,AWS CCP,Front End Developer with 7 years of experience.,Front End Developer
C08781,Candidate_8781,34,Male,Delhi,BCA,0,"UI, Wireframing, UX, After Effects, Canva, Adobe XD, Prototyping, Illustrator, Color Theory, Typography, Figma, Photoshop",2,Power BI,Designer with 0 years of experience.,Designer
C05547,Candidate_5547,30,Female,Hyderabad,BCA,6,"Python, Scikit-learn, PyTorch, TensorFlow, NLP, Pandas, Git, Docker, SQL",9,Power BI,ML Engineer with 6 years of experience.,ML Engineer
C00322,Candidate_322,33,Female,Delhi,B.Sc,4,"CSS, Tailwind, Redux, Bootstrap, TypeScript, REST, Git, JavaScript, Vite, HTML, Next.js",4,AWS CCP,Front End Developer with 4 years of experience.,Front End Developer
C04087,Candidate_4087,30,Male,Bengaluru,B.Sc,11,"Jenkins, Terraform, Python, AWS, Ansible, CI/CD, Networking, Linux, Azure",6,Meta,Cloud Engineer with 11 years of experience.,Cloud Engineer
